corr_id,statistic,value_reported,dataset,model,analysis_unit,pool_scope,p_filter,n_obs_claimed_or_measured,source_script,source_artifact,manuscript_locations,figure_annotation,evidence_status,relationship_to_other_values
D01,Pearson_r,0.93,xes3g5m,gkt,row = fold×split_seed×operator×p (raw ddr_downstream.csv),per dataset+model,p<=0.3 core,n=81 (manuscript L1643; CSV subset size confirmed 81 finite auc_drop),scripts/generate_ddr_downstream_gkt_tex.py _corr(..., p_max=0.3) L18-27 L62,results/tables/ddr_downstream_gkt.tex caption (emitted r_core:.2f); results/tables/ddr_downstream.csv,paper/main_APIN.tex abstract L132; L1642; L1906; L1984; L2193,no,SCRIPT_DEFINITION_AND_SUBSET_SIZE_VERIFIED_VALUE_NOT_RECOMPUTED,Different statistic from D03 Spearman 0.93; same digit coincidence risk
D02,Pearson_r,0.99,xes3g5m,gkt,same row unit,per dataset+model,all p including anchors (p in {0.1,0.2,0.3,0.9}),n=99 (manuscript L1643; CSV 99),scripts/generate_ddr_downstream_gkt_tex.py _corr(..., p_max=None) L63,ddr_downstream_gkt.tex caption (r_all); also ddr_downstream.tex caption cell xes3g5m/gkt r=0.99,abstract L132-133; L1642; contributions L390,no,SCRIPT_DEFINITION_AND_SUBSET_SIZE_VERIFIED_VALUE_NOT_RECOMPUTED,Same scope as D03 Pearson side of plot_ddr per-(ds,model) pool
D03,Spearman_rho,0.93,xes3g5m,gkt,same row unit,per dataset+model,all perturbed rows (no p<=0.3 filter in plot_ddr),n=99 (corr_unit size),scripts/plot_ddr_downstream.py L108-115,results/tables/ddr_downstream.tex caption: xes3g5m/gkt r=0.99 rho=0.93,embedded in tab:ddr-downstream caption only (not abstract),no,CAPTION_EMITTED_BY_SCRIPT_VALUE_NOT_RECOMPUTED,rho=0.93 is NOT the core Pearson; easy to confuse with D01
D04,Pearson_r,0.99,xes3g5m,gkt,same as D03,per dataset+model,all p (plot_ddr),n=99,scripts/plot_ddr_downstream.py L113,ddr_downstream.tex caption r=0.99 for xes3g5m/gkt,same caption as D03,no,ALIGNED_WITH_D02_IF_SAME_INPUT_CSV,Should match D02 if both use full xes/gkt pert rows
D05,Pearson_r,0.97,assist2012,gkt,row unit,per dataset+model,all p in CSV for that cell,n=33 finite (assist gkt has 39 pert but 33 auc_drop nn),plot_ddr_downstream.py,ddr_downstream.tex caption assist2012/gkt r=0.97 rho=0.95,paper L1624 area discusses ASSIST inertness separately,no,CAPTION_ONLY_NOT_RECOMPUTED,Not the headline abstract pair
D06,Spearman_rho,0.95,assist2012,gkt,row unit,per dataset+model,all p,n=33,plot_ddr_downstream.py,ddr_downstream.tex caption,—,no,CAPTION_ONLY_NOT_RECOMPUTED,—
D07,Pearson_r,0.15,assist2012,dgekt,row unit,per dataset+model,p typically 0.1-0.3 (27 rows),n=27,plot_ddr_downstream.py,ddr_downstream.tex caption; paper L1623-1624 r=0.13-0.15,—,no,CAPTION_AND_PROSE,Low-reliance cell
D08,Pearson_r,0.13,xes3g5m,dgekt,row unit,per dataset+model,n=27,n=27,plot_ddr_downstream.py,ddr_downstream.tex caption; paper L1623-1624,—,no,CAPTION_AND_PROSE,—
D09,Spearman_rho,0.18,assist2012/dgekt and xes3g5m/dgekt,dgekt,row unit,per dataset+model,—,n=27 each,plot_ddr_downstream.py,ddr_downstream.tex caption rho=0.18 both,—,no,CAPTION_ONLY,—
D10,Pearson_r,0.75,ALL datasets×models in CSV,dgekt+gkt,row unit,GLOBAL pool across dataset and model,all operators/p with finite ddr&auc_drop,n=186 finite,scripts/plot_ddr_downstream.py L121-129 annotate r_all,results/figures/fig_ddr_downstream.pdf text layer; PNG sibling,paper/main_APIN.tex App Fig S3 L2354-2358 caption does NOT state 0.75; caption claims DGEKT sensitivity only,yes: pooled Pearson r=0.75 (p=2.1e-19-ish in prior read),FIGURE_ANNOTATION_PRESENT_CAPTION_OMITS_SCOPE,Different scope from D01/D02 — not a numerical contradiction if disclosed; currently under-described
D11,Pearson_r,0.93-0.99 range,xes3g5m,gkt,prose range collapsing D01+D02,mixed,core and with anchors,n=81 and 99 stated L1643,prose only (values from GKT table generation),ddr_downstream_gkt.tex,abstract L132; L390; L1906; L1984; L2193,no,PROSE_SUMMARY_OF_D01_D02,OK if both endpoints defined; conflict only if reader maps 0.93 to D03 rho
