lineage_id,run_family,table_consumer,dataset,split,split_base_seed,fold,split_seed,model,epochs_claimed,batch_claimed,epochs_evidence,batch_evidence,commit_introducing_auc,commit_date,config_path_at_commit,config_blob_sha,config_epochs_at_commit,config_batch_at_commit,result_artifact,checkpoint_path,log_path,mlflow_run,env_manifest,file_mtime_utc,evidence_strength,notes
P-SK-F0,primary_simpleKT,S15/S16,xes3g5m,learner_temporal_3fold,42,0,42,simplekt,30 (S15),64 (S15),NOT IN ARTIFACT,NOT IN ARTIFACT,619c02cf950dac8a61ce0114f280d92e02135968,2026-06-03,configs/xes3g5m.yaml @619c02cf,e4ea896ba587e44e6e3ad0c7de01e73d1519e6f5,30 (pykt.epochs; no model hp),64 (pykt.batch_size),results/tables/baseline_fold_results.csv,ABSENT,ABSENT (no xes primary log),ABSENT,logs/pip_freeze_verify_20260520.txt (partial; May 20),content git blob 6ee6ca6… (mtime local may differ),CONFIG_INTENDED_ONLY,Current YAML must not be used as execution proof; no epoch/batch in result JSON schema
P-SK-F1,primary_simpleKT,S15/S16,xes3g5m,learner_temporal_3fold,42,1,43,simplekt,30 (S15),64 (S15),NOT IN ARTIFACT,NOT IN ARTIFACT,619c02cf,2026-06-03,configs/xes3g5m.yaml @619c02cf,e4ea896b…,30,64,results/tables/baseline_fold_results.csv,ABSENT,ABSENT,ABSENT,partial pip freeze,same blob,CONFIG_INTENDED_ONLY,
P-SK-F2,primary_simpleKT,S15/S16,xes3g5m,learner_temporal_3fold,42,2,44,simplekt,30 (S15),64 (S15),NOT IN ARTIFACT,NOT IN ARTIFACT,619c02cf,2026-06-03,configs/xes3g5m.yaml @619c02cf,e4ea896b…,30,64,results/tables/baseline_fold_results.csv,ABSENT,ABSENT,ABSENT,partial pip freeze,same blob,CONFIG_INTENDED_ONLY,
P-GKT-F0,primary_GKT,S15/S16,xes3g5m,learner_temporal_3fold,42,0,42,gkt,10 (S15),16 (S15 tex) / 4 (S15 csv & config@baseline),NOT IN ARTIFACT,NOT IN ARTIFACT,619c02cf,2026-06-03,configs/xes3g5m.yaml @619c02cf,e4ea896b…,10,4,results/tables/baseline_fold_results.csv,ABSENT,ABSENT,ABSENT,partial pip freeze,same blob,CONFIG_INTENDED_ONLY,S15 tex batch 16 is later regeneration (a288d4a0) while AUC blob unchanged — F-R12
P-GKT-F1,primary_GKT,S15/S16,xes3g5m,learner_temporal_3fold,42,1,43,gkt,10,16 tex / 4 @baseline commit,NOT IN ARTIFACT,NOT IN ARTIFACT,619c02cf,2026-06-03,configs/xes3g5m.yaml @619c02cf,e4ea896b…,10,4,results/tables/baseline_fold_results.csv,ABSENT,ABSENT,ABSENT,,same blob,CONFIG_INTENDED_ONLY,F-R12
P-GKT-F2,primary_GKT,S15/S16,xes3g5m,learner_temporal_3fold,42,2,44,gkt,10,16 tex / 4 @baseline commit,NOT IN ARTIFACT,NOT IN ARTIFACT,619c02cf,2026-06-03,configs/xes3g5m.yaml @619c02cf,e4ea896b…,10,4,results/tables/baseline_fold_results.csv,ABSENT,ABSENT,ABSENT,,same blob,CONFIG_INTENDED_ONLY,F-R12
G30-42-F0,gkt_epochs30,S21/S22,xes3g5m,learner_temporal_3fold,42,0,42,gkt,30 (S21/tag),32 (S21) vs 16 (@b02afca9),NOT LOGGED FOR FINAL AUC,NOT LOGGED,b02afca927c80487f6692ef41bc7bf29d8606f18,2026-06-16,configs/xes3g5m_gkt_epochs30.yaml @b02afca9,47f0082ac5085e026e47cb6bb6d75654842b5f92,30,16,results/q1/gkt_epochs30_s42/baseline_fold_results.csv,ABSENT locally; git had ckpt only for s17 fold0 historically,logs/q1/gkt_epochs30_s42.log ABSENT,ABSENT,ABSENT,2026-06-16T14:51:46Z,CONFIG_INTENDED_ONLY,Paper AUC 0.840181 present at b02afca9 when yaml batch=16 not 32
G30-42-F1,gkt_epochs30,S21/S22,xes3g5m,learner_temporal_3fold,42,1,43,gkt,30,16 @intro commit,NOT LOGGED,NOT LOGGED,b02afca9,2026-06-16,xes3g5m_gkt_epochs30.yaml @b02afca9,47f0082a…,30,16,results/q1/gkt_epochs30_s42/baseline_fold_results.csv,ABSENT,ABSENT,ABSENT,,same,CONFIG_INTENDED_ONLY,
G30-42-F2,gkt_epochs30,S21/S22,xes3g5m,learner_temporal_3fold,42,2,44,gkt,30,16 @intro commit,NOT LOGGED,NOT LOGGED,b02afca9,2026-06-16,xes3g5m_gkt_epochs30.yaml @b02afca9,47f0082a…,30,16,results/q1/gkt_epochs30_s42/baseline_fold_results.csv,ABSENT,ABSENT,ABSENT,,same,CONFIG_INTENDED_ONLY,
G30-17-F0,gkt_epochs30,S22,xes3g5m,learner_temporal_3fold,17,0,17,gkt,30,32 (post-fcb14635),STALE LOG ONLY (0.71-era),STALE LOG ONLY,0982891d9a910c3f1693cadde92131f81b588b81 / fcb14635 cache,2026-06-16,xes3g5m_gkt_epochs30.yaml @0982891d,3772fae7285dc610f25883e597aa448797bfe585,30,32,results/q1/gkt_epochs30_s17/baseline_fold_results.csv; git:004691d3-era cache deleted,git fcb14635 added results/pykt_work/.../gkt_p0_protocol_best.ckpt (may be absent WT),logs/q1/gkt_epochs30_s17.log exists but matches ~0.71 run not 0.842,ABSENT,ABSENT,2026-06-17T02:13:52Z,ARTIFACT_TAG_ONLY,Final AUC 0.842217; log max epoch 30 but valid_auc~0.71 aligns d9efa271 not paper
