pair_id,dataset,split_base_seed,fold,split_seed,auc_gkt10,auc_gkt30,delta_auc,gkt10_artifact,gkt30_artifact,gkt10_config_evidence,gkt30_config_evidence,gkt10_log_evidence,gkt30_log_evidence,pair_valid_for_plus0003,classification,notes
P42-0,xes3g5m,42,0,42,0.834557,0.840181,0.005624,results/tables/baseline_fold_results.csv,results/q1/gkt_epochs30_s42/baseline_fold_results.csv,"SERVER_ATTESTED 10/4; CONFIG@619c02cf epochs=10 batch=4","CONFIG@b02afca9 epochs=30 batch=16; S21 tex incorrectly prints batch 32; author: targeted 10→30",ABSENT,ABSENT (no s42 log; do not use s17/s1234 0.71 logs),yes,CONFIG_AND_ARTIFACT_SUPPORTED + SERVER_ATTESTED (protocol),Same fold and split_seed
P42-1,xes3g5m,42,1,43,0.833752,0.838300,0.004547,results/tables/baseline_fold_results.csv,results/q1/gkt_epochs30_s42/baseline_fold_results.csv,same as P42-0,same as P42-0,ABSENT,ABSENT,yes,CONFIG_AND_ARTIFACT_SUPPORTED + SERVER_ATTESTED,Same fold and split_seed
P42-2,xes3g5m,42,2,44,0.832624,0.832804,0.000181,results/tables/baseline_fold_results.csv,results/q1/gkt_epochs30_s42/baseline_fold_results.csv,same as P42-0,same as P42-0,ABSENT,ABSENT,yes,CONFIG_AND_ARTIFACT_SUPPORTED + SERVER_ATTESTED,Same fold and split_seed
SUMMARY_VALID,,,n=3,,,,"mean_delta=0.003451","std_ddof1=0.002883","paired_t_95CI=[-0.003710,+0.010611]","rounds_to_reported_+0.003=YES","matches_S21_epoch_gain_row=YES",,,,yes,derived_from_valid_pairs_only,S21 generator uses these same three pairs for Epoch gain
P17-0,xes3g5m,17,0,17,,0.842217,,NO primary GKT10 at seed 17,results/q1/gkt_epochs30_s17/...,N/A,CONFIG batch 32 era,N/A,stale 0.71 log only,no,NOT VERIFIED (no GKT10 twin),Cannot form extension pair
P17-1,xes3g5m,17,1,18,,0.843537,,NO GKT10,results/q1/gkt_epochs30_s17/...,N/A,CONFIG batch 32,N/A,stale log,no,NOT VERIFIED,no GKT10 twin
P17-2,xes3g5m,17,2,19,,0.844823,,NO GKT10,results/q1/gkt_epochs30_s17/...,N/A,CONFIG batch 32,N/A,stale log,no,NOT VERIFIED,no GKT10 twin
P1234-0,xes3g5m,1234,0,1234,,0.835662,,NO GKT10,results/q1/gkt_epochs30_s1234/...,N/A,CONFIG batch 32,N/A,stale log,no,NOT VERIFIED,no GKT10 twin
P1234-1,xes3g5m,1234,1,1235,,0.834083,,NO GKT10,results/q1/gkt_epochs30_s1234/...,N/A,CONFIG batch 32,N/A,stale log,no,NOT VERIFIED,no GKT10 twin
P1234-2,xes3g5m,1234,2,1236,,0.839719,,NO GKT10,results/q1/gkt_epochs30_s1234/...,N/A,CONFIG batch 32,N/A,stale log,no,NOT VERIFIED,no GKT10 twin
