run_id,role,dataset,split_type,split_base_seed,fold,split_seed,model,max_epochs,batch_size,graph_construction,result_artifact,artifact_sha256_16,config_path,config_commit,config_blob_sha,config_epochs,config_batch,log_path,author_attestation,in_epoch_extension_pair,evidence_strength,notes
GKT10-42-0,primary_GKT10,xes3g5m,learner_temporal_3fold,42,0,42,gkt,10,4,train_only,results/tables/baseline_fold_results.csv,12ce2588511e5214,configs/xes3g5m.yaml,619c02cf,e4ea896ba587e44e6e3ad0c7de01e73d1519e6f5,10,4,ABSENT,"Primary GKT: max_epochs=10, batch_size=4",yes,SERVER_ATTESTED+CONFIG_AND_ARTIFACT_SUPPORTED,AUC=0.834557; no training log
GKT10-42-1,primary_GKT10,xes3g5m,learner_temporal_3fold,42,1,43,gkt,10,4,train_only,results/tables/baseline_fold_results.csv,12ce2588511e5214,configs/xes3g5m.yaml,619c02cf,e4ea896ba587e44e6e3ad0c7de01e73d1519e6f5,10,4,ABSENT,"Primary GKT: max_epochs=10, batch_size=4",yes,SERVER_ATTESTED+CONFIG_AND_ARTIFACT_SUPPORTED,AUC=0.833752
GKT10-42-2,primary_GKT10,xes3g5m,learner_temporal_3fold,42,2,44,gkt,10,4,train_only,results/tables/baseline_fold_results.csv,12ce2588511e5214,configs/xes3g5m.yaml,619c02cf,e4ea896ba587e44e6e3ad0c7de01e73d1519e6f5,10,4,ABSENT,"Primary GKT: max_epochs=10, batch_size=4",yes,SERVER_ATTESTED+CONFIG_AND_ARTIFACT_SUPPORTED,AUC=0.832624
GKT30-42-0,targeted_GKT30,xes3g5m,learner_temporal_3fold,42,0,42,gkt,30,16 (config@intro; S21 prints 32 — CONFLICT),train_only,results/q1/gkt_epochs30_s42/baseline_fold_results.csv,04b99459a008294d,configs/xes3g5m_gkt_epochs30.yaml,b02afca9,47f0082ac5085e026e47cb6bb6d75654842b5f92,30,16,ABSENT (no s42 log),"Targeted extension 10→30; not full primary@30",yes,CONFIG_AND_ARTIFACT_SUPPORTED (epochs); batch CONFIG_AND_ARTIFACT_SUPPORTED@16 not EXECUTION_VERIFIED; SERVER_ATTESTED for role as targeted check,AUC=0.840181; do not use 0.71-era logs
GKT30-42-1,targeted_GKT30,xes3g5m,learner_temporal_3fold,42,1,43,gkt,30,16 (config@intro),train_only,results/q1/gkt_epochs30_s42/baseline_fold_results.csv,04b99459a008294d,configs/xes3g5m_gkt_epochs30.yaml,b02afca9,47f0082ac5085e026e47cb6bb6d75654842b5f92,30,16,ABSENT,"Targeted extension 10→30",yes,CONFIG_AND_ARTIFACT_SUPPORTED (epochs); batch @16 CONFIG_AND_ARTIFACT_SUPPORTED,AUC=0.838300
GKT30-42-2,targeted_GKT30,xes3g5m,learner_temporal_3fold,42,2,44,gkt,30,16 (config@intro),train_only,results/q1/gkt_epochs30_s42/baseline_fold_results.csv,04b99459a008294d,configs/xes3g5m_gkt_epochs30.yaml,b02afca9,47f0082ac5085e026e47cb6bb6d75654842b5f92,30,16,ABSENT,"Targeted extension 10→30",yes,CONFIG_AND_ARTIFACT_SUPPORTED (epochs); batch @16 CONFIG_AND_ARTIFACT_SUPPORTED,AUC=0.832804
GKT30-17-0,gkt30_extra_seed,xes3g5m,learner_temporal_3fold,17,0,17,gkt,30,32 (config after fcb14635),train_only,results/q1/gkt_epochs30_s17/baseline_fold_results.csv,0a9202012e6a107f,configs/xes3g5m_gkt_epochs30.yaml,0982891d/007f621f era,3772fae7285dc610f25883e597aa448797bfe585,30,32,logs/q1/gkt_epochs30_s17.log (STALE 0.71-era — not usable for this AUC),Author did not claim these as the +0.003 extension pairs,no,ARTIFACT_TAG_ONLY for extension pairing (no GKT10 twin); CONFIG_AND_ARTIFACT_SUPPORTED for GKT30 existence,AUC=0.842217; NO matched primary GKT10
GKT30-17-1,gkt30_extra_seed,xes3g5m,learner_temporal_3fold,17,1,18,gkt,30,32,train_only,results/q1/gkt_epochs30_s17/baseline_fold_results.csv,0a9202012e6a107f,configs/xes3g5m_gkt_epochs30.yaml,007f621f era,3772fae7…,30,32,stale log unusable,not in author +0.003 scope,no,ARTIFACT_TAG_ONLY for extension,AUC=0.843537
GKT30-17-2,gkt30_extra_seed,xes3g5m,learner_temporal_3fold,17,2,19,gkt,30,32,train_only,results/q1/gkt_epochs30_s17/baseline_fold_results.csv,0a9202012e6a107f,configs/xes3g5m_gkt_epochs30.yaml,007f621f era,3772fae7…,30,32,stale log unusable,not in author +0.003 scope,no,ARTIFACT_TAG_ONLY for extension,AUC=0.844823
GKT30-1234-0,gkt30_extra_seed,xes3g5m,learner_temporal_3fold,1234,0,1234,gkt,30,32,train_only,results/q1/gkt_epochs30_s1234/baseline_fold_results.csv,684f9c878edd7d21,configs/xes3g5m_gkt_epochs30.yaml,bbb63404+ era,3772fae7…,30,32,logs/q1/gkt_epochs30_s1234.log (STALE 0.71),not in author +0.003 scope,no,ARTIFACT_TAG_ONLY for extension,AUC=0.835662; NO matched primary GKT10
GKT30-1234-1,gkt30_extra_seed,xes3g5m,learner_temporal_3fold,1234,1,1235,gkt,30,32,train_only,results/q1/gkt_epochs30_s1234/baseline_fold_results.csv,684f9c878edd7d21,configs/xes3g5m_gkt_epochs30.yaml,bbb63404+ era,3772fae7…,30,32,stale log,not in author +0.003 scope,no,ARTIFACT_TAG_ONLY for extension,AUC=0.834083
GKT30-1234-2,gkt30_extra_seed,xes3g5m,learner_temporal_3fold,1234,2,1236,gkt,30,32,train_only,results/q1/gkt_epochs30_s1234/baseline_fold_results.csv,684f9c878edd7d21,configs/xes3g5m_gkt_epochs30.yaml,bbb63404+ era,3772fae7…,30,32,stale log,not in author +0.003 scope,no,ARTIFACT_TAG_ONLY for extension,AUC=0.839719
SK-BASE-42-0,simpleKT_baseline,xes3g5m,learner_temporal_3fold,42,0,42,simplekt,30,64,train_only,results/tables/baseline_fold_results.csv,12ce2588511e5214,configs/xes3g5m.yaml,619c02cf,e4ea896b…,30,64,ABSENT,"simpleKT baseline: max_epochs=30, batch_size=64",n/a (reference not GKT pair),SERVER_ATTESTED+CONFIG_AND_ARTIFACT_SUPPORTED,Used in S16/S21 vs-simpleKT columns — not for +0.003 epoch gain
DDR-GKT-NOTE,ddr_downstream_GKT,xes3g5m+assist2012,per ddr scripts,42/17/1234,varies,varies,gkt,10,4,train_only graphs perturbed,results/tables/ddr_downstream.csv / results/q1/ddr_downstream_gkt/*,n/a,configs/xes3g5m.yaml (runner default),historical HEAD varies,n/a,10 (author),4 (author),per-seed shards; not reviewed fold-by-fold here,"DDR downstream GKT: max_epochs=10, batch_size=4",n/a,SERVER_ATTESTED (hp); script uses configs/xes3g5m.yaml resolution,Separate from targeted GKT30 check; not used for +0.003
