dataset,model,fold,split_seed,operator,p,ddr,n_edges_orig,n_edges_pert,num_c,auc,acc,nll,status
xes3g5m,gkt,1,18,none,0.0,0.0,1157,1157,854,0.8347878899781429,0.843735834679763,0.36059908482072,pykt_checkpoint
xes3g5m,gkt,1,18,edge_drop,0.1,0.092481,1157,1050,854,0.8308839923335594,0.8427986640451844,0.3637079322875631,pykt_checkpoint
xes3g5m,gkt,1,18,edge_drop,0.2,0.19274,1157,934,854,0.8255600469356231,0.8405196986593176,0.3690546522518992,pykt_checkpoint
xes3g5m,gkt,1,18,edge_drop,0.3,0.295592,1157,815,854,0.8199475145440028,0.83879274624367,0.3735008320381514,pykt_checkpoint
xes3g5m,gkt,1,18,node_drop,0.1,0.175454,1157,954,854,0.8195043506344573,0.8388330696092526,0.3734228952073606,pykt_checkpoint
xes3g5m,gkt,1,18,node_drop,0.2,0.331029,1157,774,854,0.8078822474448122,0.8346394395886461,0.3821863891356402,pykt_checkpoint
xes3g5m,gkt,1,18,node_drop,0.3,0.494382,1157,585,854,0.7933648310258107,0.8309296899550325,0.3926447441877898,pykt_checkpoint
xes3g5m,gkt,1,18,prereq_preserve,0.1,0.063959,1157,1083,854,0.8322056522470797,0.8427819785145985,0.3627632687247332,pykt_checkpoint
xes3g5m,gkt,1,18,prereq_preserve,0.2,0.145203,1157,989,854,0.8294471701468791,0.8419115500023637,0.3650849703061568,pykt_checkpoint
xes3g5m,gkt,1,18,prereq_preserve,0.3,0.224719,1157,897,854,0.825152662713343,0.8397827543917707,0.3696095966060091,pykt_checkpoint
xes3g5m,gkt,2,19,none,0.0,0.0,1168,1168,863,0.8352583477918043,0.8418489792626664,0.3641085087683327,pykt_checkpoint
xes3g5m,gkt,2,19,edge_drop,0.1,0.090753,1168,1062,863,0.831427209484443,0.8416056486082877,0.3659303737018324,pykt_checkpoint
xes3g5m,gkt,2,19,edge_drop,0.2,0.193493,1168,942,863,0.8283914725546764,0.8407213154872314,0.3674856818021121,pykt_checkpoint
xes3g5m,gkt,2,19,edge_drop,0.3,0.296233,1168,822,863,0.8204442722587604,0.8384785020843009,0.3734902967464191,pykt_checkpoint
xes3g5m,gkt,2,19,node_drop,0.1,0.1875,1168,949,863,0.822500170373587,0.8387844034783769,0.3722293424758476,pykt_checkpoint
xes3g5m,gkt,2,19,node_drop,0.2,0.358733,1168,749,863,0.8082147687275315,0.8346853247977575,0.3822520644057702,pykt_checkpoint
xes3g5m,gkt,2,19,node_drop,0.3,0.504281,1168,579,863,0.7949101299083109,0.830933861337679,0.3919619132794665,pykt_checkpoint
xes3g5m,gkt,2,19,prereq_preserve,0.1,0.070205,1168,1086,863,0.8330714415421787,0.8403153009096395,0.3653253324251917,pykt_checkpoint
xes3g5m,gkt,2,19,prereq_preserve,0.2,0.143836,1168,1000,863,0.8317760801576227,0.8426012185999171,0.3633049504784735,pykt_checkpoint
xes3g5m,gkt,2,19,prereq_preserve,0.3,0.230308,1168,899,863,0.8266684089355991,0.840582269399015,0.3684840564012757,pykt_checkpoint
xes3g5m,gkt,0,17,edge_drop,0.1,0.090361,1162,1057,858,0.832142642500132,0.8415861821559374,0.3640155396891155,pykt_checkpoint
xes3g5m,gkt,0,17,edge_drop,0.2,0.193632,1162,937,858,0.828718668881725,0.8412705475356862,0.3662940257151431,pykt_checkpoint
xes3g5m,gkt,0,17,edge_drop,0.3,0.296902,1162,817,858,0.8231226217287921,0.8392363032650803,0.3708664132798346,pykt_checkpoint
xes3g5m,gkt,0,17,node_drop,0.1,0.184165,1162,948,858,0.8215664090889543,0.8384256645707786,0.3720344451734644,pykt_checkpoint
xes3g5m,gkt,0,17,node_drop,0.2,0.358864,1162,745,858,0.8055502303761786,0.8332434168629534,0.3845280199738041,pykt_checkpoint
xes3g5m,gkt,0,17,node_drop,0.3,0.503442,1162,577,858,0.7940262673653418,0.8300717755907373,0.3929912767223718,pykt_checkpoint
xes3g5m,gkt,0,17,prereq_preserve,0.1,0.067126,1162,1084,858,0.8329530915437422,0.8420394724035228,0.3630346207767748,pykt_checkpoint
xes3g5m,gkt,0,17,prereq_preserve,0.2,0.142857,1162,996,858,0.8310548781134397,0.8419490924461822,0.3641798994896374,pykt_checkpoint
xes3g5m,gkt,0,17,prereq_preserve,0.3,0.225473,1162,900,858,0.8255104178706284,0.8393948158056469,0.3697575580618439,pykt_checkpoint
xes3g5m,gkt,0,17,edge_drop,0.9,0.899312,1162,117,858,0.7638085310043197,0.8219181129777275,0.414230064799074,pykt_checkpoint
xes3g5m,gkt,0,17,node_drop,0.9,0.992255,1162,9,858,0.7462087723645888,0.8184085897111456,0.4247870758236026,pykt_checkpoint
xes3g5m,gkt,1,18,edge_drop,0.9,0.899741,1157,116,854,0.7635774280959995,0.82207384459653,0.4141570005727449,pykt_checkpoint
xes3g5m,gkt,1,18,node_drop,0.9,0.983578,1157,19,854,0.7477214140039615,0.8184989696684863,0.4237099706984258,pykt_checkpoint
xes3g5m,gkt,2,19,edge_drop,0.9,0.899829,1168,117,863,0.7642165165637842,0.8224353644258926,0.4139389360187993,pykt_checkpoint
xes3g5m,gkt,2,19,node_drop,0.9,0.989726,1168,12,863,0.7471936403230257,0.8182653722402827,0.4249525409037846,pykt_checkpoint
xes3g5m,gkt,0,17,none,0.0,0.0,1163,1163,858,0.8344679688198636,0.8435814935218428,0.36145232996085835,pykt_checkpoint
