dataset,model,operator,p,ddr_mean,auc_mean,auc_drop_mean,auc_drop_std,n
assist2012,dgekt,edge_drop,0.1,0.08564366666666667,0.9599992239708429,2.9160302139804212e-05,0.00011307332013300572,3
assist2012,dgekt,edge_drop,0.2,0.2205973333333333,0.9600586259282426,-3.024165525992532e-05,7.063854087257597e-05,3
assist2012,dgekt,edge_drop,0.3,0.303646,0.9600421771584392,-1.3792885456664905e-05,2.9886279905514475e-05,3
assist2012,dgekt,node_drop,0.1,0.17074799999999998,0.9600783934672936,-5.000919431089971e-05,6.664881876732975e-05,3
assist2012,dgekt,node_drop,0.2,0.36893833333333337,0.9600716861149077,-4.3301841925025286e-05,5.627824187734672e-05,3
assist2012,dgekt,node_drop,0.3,0.49344366666666667,0.9600500889207253,-2.1704647742611567e-05,8.51306081231832e-05,3
assist2012,dgekt,prereq_preserve,0.1,0.07961233333333334,0.9600827171989926,-5.433292601001819e-05,6.0373611116514475e-05,3
assist2012,dgekt,prereq_preserve,0.2,0.20592999999999997,0.9600658424428833,-3.745816990075035e-05,6.729750587073301e-05,3
assist2012,dgekt,prereq_preserve,0.3,0.27773866666666663,0.9600269056011627,1.4786718199507238e-06,5.0165229132502026e-05,3
assist2012,gkt,edge_drop,0.1,0.08594066666666667,0.9630433009942019,-8.626463929924574e-06,7.610121764141836e-05,3
assist2012,gkt,edge_drop,0.2,0.22088233333333332,0.9628610408060001,0.00017363372427177856,2.8781464393078802e-05,3
assist2012,gkt,edge_drop,0.3,0.304413,0.96268944651645,0.0003452280138219003,2.083113346155947e-05,3
assist2012,gkt,edge_drop,0.9,0.898794,0.9609373317858396,0.0018014702614344384,4.182065392632267e-05,6
assist2012,gkt,node_drop,0.1,0.199207,0.9626284982735585,0.00040617625671350116,0.000186529629898545,3
assist2012,gkt,node_drop,0.2,0.46033966666666665,0.961855051701651,0.001179622828620867,0.0005248733656858646,3
assist2012,gkt,node_drop,0.3,0.5534803333333334,0.9618901250414528,0.0011445494888191095,0.00043568292420147805,3
assist2012,gkt,node_drop,0.9,0.985542,0.9606897822492808,0.0020780693296147032,9.993105894060602e-05,6
assist2012,gkt,prereq_preserve,0.1,0.07549499999999999,0.9629883727743026,4.6301755969387535e-05,5.015098845173371e-05,3
assist2012,gkt,prereq_preserve,0.2,0.18716433333333335,0.9629034946671093,0.00013117986316257824,8.568555458654156e-06,3
assist2012,gkt,prereq_preserve,0.3,0.254641,0.9627787652429394,0.0002559092873325823,3.256701238904365e-05,3
xes3g5m,dgekt,edge_drop,0.1,0.09320233333333333,0.8417057855752968,6.261551416423632e-05,0.00016520372814013168,3
xes3g5m,dgekt,edge_drop,0.2,0.214222,0.8416493181536495,0.00011908293581164298,0.00023394577892500598,3
xes3g5m,dgekt,edge_drop,0.3,0.3011176666666667,0.8417306186138162,3.778247564504659e-05,0.00039676511791911505,3
xes3g5m,dgekt,node_drop,0.1,0.17725233333333335,0.8416904444516641,7.795663779715707e-05,0.00029402936245453157,3
xes3g5m,dgekt,node_drop,0.2,0.42409566666666665,0.8414473882655417,0.00032101282391946057,0.00025866282895637517,3
xes3g5m,dgekt,node_drop,0.3,0.554617,0.8416723895797372,9.601150972393668e-05,0.0001838246415832521,3
xes3g5m,dgekt,prereq_preserve,0.1,0.07113599999999999,0.8416800739764133,8.8327113047811e-05,0.000174091306135459,3
xes3g5m,dgekt,prereq_preserve,0.2,0.16778400000000002,0.8416640010801976,0.00010440000926344635,0.00018944307019557198,3
xes3g5m,dgekt,prereq_preserve,0.3,0.23287566666666668,0.8415099812484942,0.0002584198409670095,0.0002036898986801799,3
xes3g5m,gkt,edge_drop,0.1,0.09461922222222223,0.8312719606497313,0.0032839575555903863,0.000556084453545,9
xes3g5m,gkt,edge_drop,0.2,0.201631,0.8271577286519183,0.007398189553403458,0.0015900174402941345,9
xes3g5m,gkt,edge_drop,0.3,0.29834955555555553,0.8221271887060558,0.012428729499265816,0.0022544326796184034,9
xes3g5m,gkt,edge_drop,0.9,0.900552888888889,0.7637186265892297,0.07083729161609204,0.0020164634766749274,9
xes3g5m,gkt,node_drop,0.1,0.18923744444444443,0.8210677961546338,0.01348812205068787,0.0037259700327420034,9
xes3g5m,gkt,node_drop,0.2,0.38139066666666666,0.8058251694204844,0.028730748784837255,0.0021899607258462333,9
xes3g5m,gkt,node_drop,0.3,0.5340831111111111,0.79277004796827,0.04178587023705164,0.0023619372812377065,9
xes3g5m,gkt,node_drop,0.9,0.9901533333333332,0.7468801534187341,0.0876757647865875,0.0009052625112261098,9
xes3g5m,gkt,prereq_preserve,0.1,0.073202,0.8320806273094932,0.002475290895828529,0.0004983256795983771,9
xes3g5m,gkt,prereq_preserve,0.2,0.15976322222222222,0.8285200468810869,0.0060358713242347145,0.0016623710938453663,9
xes3g5m,gkt,prereq_preserve,0.3,0.2367561111111111,0.824977447015532,0.009578471189789717,0.000740729163732306,9
