dataset,augmentation,p,ddr_mean,ddr_std,ddr_ci_low,ddr_ci_high,n
xes3g5m,attr_mask,0.05,0.0,0.0,0.0,0.0,9
xes3g5m,attr_mask,0.1,0.0,0.0,0.0,0.0,9
xes3g5m,attr_mask,0.2,0.0,0.0,0.0,0.0,9
xes3g5m,attr_mask,0.3,0.0,0.0,0.0,0.0,9
xes3g5m,edge_drop,0.05,0.04894217985535851,0.004719817026520689,0.0458587463116633,0.051709898246147135,9
xes3g5m,edge_drop,0.1,0.09473154723522827,0.004891352111530028,0.0918535445017518,0.09785044937992034,9
xes3g5m,edge_drop,0.2,0.2038996337985816,0.009081812688770926,0.1981193045939014,0.2096523431238011,9
xes3g5m,edge_drop,0.3,0.2986329898897052,0.0021609113516473143,0.2972878696103943,0.2999725585437527,9
xes3g5m,node_drop,0.05,0.1102857653469057,0.021674437294188133,0.0967757499719193,0.12406657421864854,9
xes3g5m,node_drop,0.1,0.19585193528357286,0.02718199871956164,0.18087736484190256,0.21359558086762814,9
xes3g5m,node_drop,0.2,0.3862748765914221,0.035266970209487256,0.3644526775011582,0.40905088908887227,9
xes3g5m,node_drop,0.3,0.5349399601018976,0.02689216570921278,0.5169767570836716,0.5506159083636513,9
xes3g5m,prereq_preserve,0.05,0.03757014582400164,0.005232334007820646,0.034282380287777116,0.040810170216107805,9
xes3g5m,prereq_preserve,0.1,0.07236701427312571,0.0060516076283886845,0.06845597304979856,0.07616058323706236,9
xes3g5m,prereq_preserve,0.2,0.1575472947634288,0.011243113976907885,0.15039374486867685,0.16408847081975178,9
xes3g5m,prereq_preserve,0.3,0.23286823170701457,0.006248326494982529,0.22900037197574719,0.23682876306206513,9
xes3g5m,subgraph,0.05,0.022077491928845935,0.0017632921852548068,0.020960767224085464,0.02315695059350727,9
xes3g5m,subgraph,0.1,0.05763565266143843,0.004688258334021957,0.054909507466648064,0.06097628011842995,9
xes3g5m,subgraph,0.2,0.14519104104033012,0.011242169058877132,0.13806986486517908,0.15217237909047354,9
xes3g5m,subgraph,0.3,0.24042192958256628,0.009614273737183734,0.23475317962265774,0.2472250149813798,9
