dataset,fold,split_seed,cell_tag,arm,q,k,K,tau,n_pre_to,n_pre_fl,n_sim_to,n_sim_fl,n_pre_fl_minus_to,jaccard_pre_directed,jaccard_pre_undirected,jaccard_sim_undirected,share_p90,frac_share_gt_50,n_share_edges,n_raw_to,n_after_q_to,n_after_k_to,n_after_K_to,min_support_to,used_quantile_fallback_to,q_binds_to,k_binds_to,K_binds_to,primary_bind_to,n_raw_fl,n_after_q_fl,n_after_k_fl,n_after_K_fl,min_support_fl,used_quantile_fallback_fl,q_binds_fl,k_binds_fl,K_binds_fl,primary_bind_fl,sig_pre_to,sig_pre_fl,sig_sim_to,sig_sim_fl,graph_signature
xes3g5m,0,42,q0.5_k5_K1000_tau0.1,qk,0.5,5,1000,0.1,1000,1000,354,360,10,0.9801980198019802,0.9805589307411907,0.9833333333333333,0.37361111111111134,0.08936484490398819,1354,31039,17211,3213,1000,3,False,True,True,True,K,34806,19487,3292,1000,3,False,True,True,True,K,c3c92a0755675bc3,51fdcc4a7f0295bb,84c1246a286505fa,1001763cf0599b22,c3c92a0755675bc3|51fdcc4a7f0295bb|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.5_k5_K5000_tau0.1,qk,0.5,5,5000,0.1,3213,3292,354,360,136,0.9423708569722306,0.9408047888260725,0.9833333333333333,0.35364037236648704,0.03644519203812728,3567,31039,17211,3213,3213,3,False,True,True,False,k,34806,19487,3292,3292,3,False,True,True,False,k,0f148221181eae20,c3d1e3e97a9a17e0,84c1246a286505fa,1001763cf0599b22,0f148221181eae20|c3d1e3e97a9a17e0|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.5_k5_Kinf_tau0.1,qk+k,0.5,5,1000000000,0.1,3213,3292,354,360,136,0.9423708569722306,0.9408047888260725,0.9833333333333333,0.35364037236648704,0.03644519203812728,3567,31039,17211,3213,3213,3,False,True,True,False,k,34806,19487,3292,3292,3,False,True,True,False,k,0f148221181eae20,c3d1e3e97a9a17e0,84c1246a286505fa,1001763cf0599b22,0f148221181eae20|c3d1e3e97a9a17e0|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.5_k20_Kinf_tau0.1,k,0.5,20,1000000000,0.1,8712,9175,354,360,634,0.9138668949283115,0.9089988609036831,0.9833333333333333,0.375,0.020075005515111405,9066,31039,17211,8712,8712,3,False,True,True,False,k,34806,19487,9175,9175,3,False,True,True,False,k,c00c4a6561106155,2a6ceb95d22668ec,84c1246a286505fa,1001763cf0599b22,c00c4a6561106155|2a6ceb95d22668ec|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.5_kinf_Kinf_tau0.1,k,0.5,1000000000,1000000000,0.1,17211,19487,354,360,2276,0.8832041874069892,0.8854714690408741,0.9833333333333333,0.4,0.02322801024765158,17565,31039,17211,17211,17211,3,False,True,False,False,q,34806,19487,19487,19487,3,False,True,False,False,q,ba748bd40f4e3357,e7e0f3f75e30a19e,84c1246a286505fa,1001763cf0599b22,ba748bd40f4e3357|e7e0f3f75e30a19e|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.8_k5_K1000_tau0.1,qk,0.8,5,1000,0.1,1000,1000,354,360,10,0.9801980198019802,0.9805589307411907,0.9833333333333333,0.37361111111111134,0.08936484490398819,1354,31039,6265,2454,1000,32,False,True,True,True,K,34806,7022,2559,1000,34,False,True,True,True,K,c3c92a0755675bc3,51fdcc4a7f0295bb,84c1246a286505fa,1001763cf0599b22,c3c92a0755675bc3|51fdcc4a7f0295bb|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.8_k5_K5000_tau0.1,qk,0.8,5,5000,0.1,2454,2559,354,360,125,0.9437766576192322,0.9420866489832007,0.9833333333333333,0.3382516947299366,0.04309116809116809,2808,31039,6265,2454,2454,32,False,True,True,False,k,34806,7022,2559,2559,34,False,True,True,False,k,be6c836922a0a76f,1a2528ca42d148d3,84c1246a286505fa,1001763cf0599b22,be6c836922a0a76f|1a2528ca42d148d3|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.8_k5_Kinf_tau0.1,qk,0.8,5,1000000000,0.1,2454,2559,354,360,125,0.9437766576192322,0.9420866489832007,0.9833333333333333,0.3382516947299366,0.04309116809116809,2808,31039,6265,2454,2454,32,False,True,True,False,k,34806,7022,2559,2559,34,False,True,True,False,k,be6c836922a0a76f,1a2528ca42d148d3,84c1246a286505fa,1001763cf0599b22,be6c836922a0a76f|1a2528ca42d148d3|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.9_k5_K1000_tau0.1,qk,0.9,5,1000,0.1,1000,1000,354,360,10,0.9801980198019802,0.9805589307411907,0.9833333333333333,0.37361111111111134,0.08936484490398819,1354,31039,3109,1781,1000,147,False,True,True,True,K,34806,3481,1885,1000,168,False,True,True,True,K,c3c92a0755675bc3,51fdcc4a7f0295bb,84c1246a286505fa,1001763cf0599b22,c3c92a0755675bc3|51fdcc4a7f0295bb|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.9_k5_K5000_tau0.1,qk,0.9,5,5000,0.1,1781,1885,354,360,114,0.9345646437994723,0.9326328800988876,0.9833333333333333,0.3333333333333333,0.05667447306791569,2135,31039,3109,1781,1781,147,False,True,True,False,k,34806,3481,1885,1885,168,False,True,True,False,k,ef104ca666cc42a7,ba90b099892c9f3c,84c1246a286505fa,1001763cf0599b22,ef104ca666cc42a7|ba90b099892c9f3c|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.9_k5_Kinf_tau0.1,qk,0.9,5,1000000000,0.1,1781,1885,354,360,114,0.9345646437994723,0.9326328800988876,0.9833333333333333,0.3333333333333333,0.05667447306791569,2135,31039,3109,1781,1781,147,False,True,True,False,k,34806,3481,1885,1885,168,False,True,True,False,k,ef104ca666cc42a7,ba90b099892c9f3c,84c1246a286505fa,1001763cf0599b22,ef104ca666cc42a7|ba90b099892c9f3c|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.95_k5_K1000_tau0.1,qk,0.95,5,1000,0.1,1000,1000,354,360,10,0.9801980198019802,0.9805589307411907,0.9833333333333333,0.37361111111111134,0.08936484490398819,1354,31039,1554,1162,1000,461,False,True,True,True,K,34806,1741,1260,1000,562,False,True,True,True,K,c3c92a0755675bc3,51fdcc4a7f0295bb,84c1246a286505fa,1001763cf0599b22,c3c92a0755675bc3|51fdcc4a7f0295bb|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.95_k5_K5000_tau0.05,tau,0.95,5,5000,0.05,1162,1260,618,628,103,0.9146245059288538,0.9090909090909091,0.9840764331210191,0.6666666666666666,0.10056179775280899,1780,31039,1554,1162,1162,461,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,132d537d45fcb1ab,c0f8d1d7ff10f6a3,530917bb90b60366,cc5def1d527737d7,132d537d45fcb1ab|c0f8d1d7ff10f6a3|530917bb90b60366|cc5def1d527737d7
xes3g5m,0,42,q0.95_k5_K5000_tau0.1,qk+tau,0.95,5,5000,0.1,1162,1260,354,360,103,0.9146245059288538,0.9090909090909091,0.9833333333333333,0.3376686604534706,0.07981530343007916,1516,31039,1554,1162,1162,461,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,132d537d45fcb1ab,c0f8d1d7ff10f6a3,84c1246a286505fa,1001763cf0599b22,132d537d45fcb1ab|c0f8d1d7ff10f6a3|84c1246a286505fa|1001763cf0599b22
xes3g5m,0,42,q0.95_k5_K5000_tau0.2,tau,0.95,5,5000,0.2,1162,1260,198,202,103,0.9146245059288538,0.9090909090909091,0.9607843137254902,0.322982086406744,0.052941176470588235,1360,31039,1554,1162,1162,461,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,132d537d45fcb1ab,c0f8d1d7ff10f6a3,1750ca3b4dd23abf,3ec25b12fb729b8e,132d537d45fcb1ab|c0f8d1d7ff10f6a3|1750ca3b4dd23abf|3ec25b12fb729b8e
xes3g5m,0,42,q0.95_k5_Kinf_tau0.1,qk,0.95,5,1000000000,0.1,1162,1260,354,360,103,0.9146245059288538,0.9090909090909091,0.9833333333333333,0.3376686604534706,0.07981530343007916,1516,31039,1554,1162,1162,461,False,True,True,False,k,34806,1741,1260,1260,562,False,True,True,False,k,132d537d45fcb1ab,c0f8d1d7ff10f6a3,84c1246a286505fa,1001763cf0599b22,132d537d45fcb1ab|c0f8d1d7ff10f6a3|84c1246a286505fa|1001763cf0599b22
xes3g5m,1,43,q0.5_k5_K1000_tau0.1,qk,0.5,5,1000,0.1,1000,1000,360,360,6,0.9880715705765407,0.9890243902439024,0.9672131147540983,0.3775000000000034,0.08897058823529412,1360,30886,17124,3210,1000,3,False,True,True,True,K,34806,19487,3292,1000,3,False,True,True,True,K,dd5b3a88d0c090b4,51fdcc4a7f0295bb,ed924b486dc90191,1001763cf0599b22,dd5b3a88d0c090b4|51fdcc4a7f0295bb|ed924b486dc90191|1001763cf0599b22
xes3g5m,1,43,q0.5_k5_K5000_tau0.1,qk,0.5,5,5000,0.1,3210,3292,360,360,144,0.9385807990459153,0.9359229747675962,0.9672131147540983,0.36363636363636365,0.03613445378151261,3570,30886,17124,3210,3210,3,False,True,True,False,k,34806,19487,3292,3292,3,False,True,True,False,k,1e1622cfcdd3107e,c3d1e3e97a9a17e0,ed924b486dc90191,1001763cf0599b22,1e1622cfcdd3107e|c3d1e3e97a9a17e0|ed924b486dc90191|1001763cf0599b22
