dataset,model,fold,split_seed,operator,p,ddr,n_edges_orig,n_edges_pert,num_c,auc,acc,nll,status
xes3g5m,gkt,0,1234,none,0.0,0.0,1408,1408,850,0.8360597674115987,0.842701331783433,0.3604088755781315,pykt_checkpoint
xes3g5m,gkt,1,1235,none,0.0,0.0,1403,1403,858,0.8322210295460903,0.8409743793677853,0.36542693498278117,pykt_checkpoint
xes3g5m,gkt,2,1236,none,0.0,0.0,1405,1405,854,0.8350737985108649,0.843667702096537,0.3609973136360308,pykt_checkpoint
xes3g5m,gkt,0,1234,node_drop,0.1,0.2358,1162,888,850,0.8174893952513986,0.8357337323029091,0.37683708444281927,pykt_checkpoint
xes3g5m,gkt,0,1234,node_drop,0.2,0.374355,1162,727,850,0.8068440921364538,0.8333129399070616,0.38370383877186576,pykt_checkpoint
xes3g5m,gkt,0,1234,node_drop,0.3,0.542169,1162,532,850,0.792089919746643,0.8292152516873242,0.39473446582121335,pykt_checkpoint
xes3g5m,gkt,0,1234,prereq_preserve,0.1,0.078313,1162,1071,850,0.8334673539794748,0.8419602161332396,0.3634646132827796,pykt_checkpoint
xes3g5m,gkt,0,1234,prereq_preserve,0.2,0.16179,1162,974,850,0.8291505533521586,0.840667087512827,0.36627782481592186,pykt_checkpoint
xes3g5m,gkt,0,1234,prereq_preserve,0.3,0.242685,1162,880,850,0.8270323736945758,0.841091178081887,0.3665979629436917,pykt_checkpoint
xes3g5m,gkt,1,1235,node_drop,0.1,0.20484,1157,920,858,0.8147928607306195,0.8321963998186839,0.3837307122452341,pykt_checkpoint
xes3g5m,gkt,1,1235,node_drop,0.2,0.404494,1157,689,858,0.8030317635595883,0.8301732792351353,0.38996878825244774,pykt_checkpoint
xes3g5m,gkt,1,1235,node_drop,0.3,0.563526,1157,505,858,0.792444797135474,0.8265219289585726,0.39805024167695885,pykt_checkpoint
xes3g5m,gkt,1,1235,prereq_preserve,0.1,0.08038,1157,1064,858,0.8290618020738562,0.8370685747497866,0.3720270947862507,pykt_checkpoint
xes3g5m,gkt,1,1235,prereq_preserve,0.2,0.163354,1157,968,858,0.8249461816906033,0.8363399732475326,0.373990772165942,pykt_checkpoint
xes3g5m,gkt,2,1236,node_drop,0.1,0.207117,1405,1114,854,0.8183794449223427,0.8377651956517508,0.3747899753280524,pykt_checkpoint
xes3g5m,gkt,2,1236,node_drop,0.2,0.370819,1405,884,854,0.8044213866835452,0.8338093344419941,0.3854346192007847,pykt_checkpoint
xes3g5m,gkt,0,1234,node_drop,0.9,0.990534,1162,11,850,0.7477886360819794,0.8188479753499095,0.4236507684770562,pykt_checkpoint
xes3g5m,gkt,1,1235,prereq_preserve,0.3,0.239412,1157,880,858,0.822308897457619,0.8368057776430575,0.3747703942737212,pykt_checkpoint
xes3g5m,gkt,2,1236,node_drop,0.3,0.550178,1405,632,854,0.7891792322728786,0.8301677173916067,0.39611726423441224,pykt_checkpoint
xes3g5m,gkt,1,1235,node_drop,0.9,0.990493,1157,11,858,0.7447280320035904,0.8152647576565728,0.42933988192100214,pykt_checkpoint
xes3g5m,gkt,2,1236,prereq_preserve,0.1,0.088968,1405,1280,854,0.8322203808179243,0.8407852766878109,0.36557965988870134,pykt_checkpoint
xes3g5m,gkt,2,1236,node_drop,0.9,0.98887,1168,13,854,0.7477306115894777,0.8189133270113712,0.424307908882219,pykt_checkpoint
xes3g5m,gkt,2,1236,prereq_preserve,0.2,0.175089,1405,1159,854,0.8292287728834977,0.8398300300617643,0.36847574694242446,pykt_checkpoint
xes3g5m,gkt,2,1236,prereq_preserve,0.3,0.26121,1405,1038,854,0.8257423021165188,0.8385716629634058,0.3708335555742647,pykt_checkpoint
