dataset,model,fold,split_seed,operator,p,ddr,n_edges_orig,n_edges_pert,num_c,auc,acc,nll,status
xes3g5m,gkt,0,42,none,0.0,0.0,1162,1162,863,0.8348387868428289,0.8401540074473085,0.3648209242283435,pykt_checkpoint
xes3g5m,gkt,0,42,edge_drop,0.1,0.093804,1162,1053,863,0.8314264342645057,0.839709059965016,0.3674286977415088,pykt_checkpoint
xes3g5m,gkt,0,42,edge_drop,0.2,0.214286,1162,913,863,0.8270349252093193,0.8387830130174948,0.3703567042857274,pykt_checkpoint
xes3g5m,gkt,0,42,edge_drop,0.3,0.301205,1162,812,863,0.8208999766383577,0.836131404115208,0.37589632425747266,pykt_checkpoint
xes3g5m,gkt,0,42,node_drop,0.1,0.180723,1162,952,863,0.8253699857813503,0.838581396189581,0.3710191480248797,pykt_checkpoint
xes3g5m,gkt,0,42,node_drop,0.2,0.416523,1162,678,863,0.8090107883826937,0.8324105307945372,0.384504417015854,pykt_checkpoint
xes3g5m,gkt,0,42,node_drop,0.3,0.546472,1162,527,863,0.7943957741378495,0.8280764642248319,0.3953285460455606,pykt_checkpoint
xes3g5m,gkt,0,42,prereq_preserve,0.1,0.069707,1162,1081,863,0.8327340080855946,0.8392376937259624,0.3670671230422262,pykt_checkpoint
xes3g5m,gkt,0,42,prereq_preserve,0.2,0.169535,1162,965,863,0.8281589364691966,0.8387607656433802,0.36959151468489887,pykt_checkpoint
xes3g5m,gkt,0,42,prereq_preserve,0.3,0.23494,1162,889,863,0.8244522965822372,0.8372993912562258,0.3731392385980288,pykt_checkpoint
xes3g5m,gkt,1,43,none,0.0,0.0,1161,1161,858,0.8347459474283362,0.8435286560083205,0.360623508372199,pykt_checkpoint
xes3g5m,gkt,1,43,edge_drop,0.1,0.093885,1161,1052,858,0.8310743474578793,0.8417460851573862,0.3644748451597875,pykt_checkpoint
xes3g5m,gkt,1,43,edge_drop,0.2,0.21447,1161,912,858,0.8252094346745242,0.8390847430289243,0.37009475700895683,pykt_checkpoint
xes3g5m,gkt,1,43,edge_drop,0.3,0.301464,1161,811,858,0.8205237556398048,0.8379167558879066,0.3738291007260411,pykt_checkpoint
xes3g5m,gkt,1,43,node_drop,0.1,0.145564,1161,992,858,0.8264482387925168,0.8407338296351708,0.3675588793468241,pykt_checkpoint
xes3g5m,gkt,1,43,node_drop,0.2,0.404823,1161,691,858,0.8069734415760518,0.8345601833183627,0.38316427492456717,pykt_checkpoint
xes3g5m,gkt,1,43,node_drop,0.3,0.544358,1161,529,858,0.7954181980549639,0.8308365290759275,0.3924381318672324,pykt_checkpoint
xes3g5m,gkt,1,43,prereq_preserve,0.1,0.07149,1161,1078,858,0.8318280418996812,0.83964092738179,0.3665044065735572,pykt_checkpoint
xes3g5m,gkt,1,43,prereq_preserve,0.2,0.169681,1161,964,858,0.8271301822375882,0.8401859880475983,0.3679907035315989,pykt_checkpoint
xes3g5m,gkt,1,43,prereq_preserve,0.3,0.236865,1161,886,858,0.8238001682307846,0.8380029644626008,0.3721651233898254,pykt_checkpoint
xes3g5m,gkt,2,44,none,0.0,0.0,1165,1165,858,0.8335497275183652,0.8405628029466647,0.365449247164979,pykt_checkpoint
xes3g5m,gkt,2,44,edge_drop,0.1,0.093562,1165,1056,858,0.8300503973732779,0.8391514851512683,0.36904770212216564,pykt_checkpoint
xes3g5m,gkt,2,44,edge_drop,0.2,0.215451,1165,914,858,0.8243386806081558,0.8379000703573206,0.37243640636837216,pykt_checkpoint
xes3g5m,gkt,2,44,edge_drop,0.3,0.302146,1165,813,858,0.8203021230690838,0.8352957371250275,0.37846231223763604,pykt_checkpoint
xes3g5m,gkt,2,44,node_drop,0.1,0.181974,1165,953,858,0.8235593098164776,0.8379362223402569,0.3724138346787734,pykt_checkpoint
xes3g5m,gkt,2,44,node_drop,0.2,0.412876,1165,684,858,0.8004978058975047,0.8298882347542916,0.3925019658838338,pykt_checkpoint
xes3g5m,gkt,2,44,node_drop,0.3,0.55794,1165,515,858,0.789101282067158,0.8276829637951796,0.3989865932571034,pykt_checkpoint
xes3g5m,gkt,2,44,prereq_preserve,0.1,0.06867,1165,1085,858,0.8311838735959067,0.8401637406734836,0.36738039744571993,pykt_checkpoint
xes3g5m,gkt,2,44,prereq_preserve,0.2,0.166524,1165,971,858,0.8257876668787968,0.8368850339133409,0.374285341114195,pykt_checkpoint
xes3g5m,gkt,2,44,prereq_preserve,0.3,0.235193,1165,891,858,0.8241294955384817,0.8368502723912868,0.37491758073746256,pykt_checkpoint
xes3g5m,gkt,0,42,edge_drop,0.9,0.900172,1162,116,863,0.7599972314406209,0.8195835291565743,0.41946285636888037,pykt_checkpoint
xes3g5m,gkt,0,42,node_drop,0.9,0.993976,1162,7,863,0.7458821119759675,0.8160517585158776,0.42794348002954447,pykt_checkpoint
xes3g5m,gkt,1,43,edge_drop,0.9,0.900086,1161,116,858,0.7663221355360892,0.8225869246620485,0.41323066622668675,pykt_checkpoint
xes3g5m,gkt,1,43,node_drop,0.9,0.992248,1161,9,858,0.7469153876766564,0.8176341029997803,0.42522364767649534,pykt_checkpoint
xes3g5m,gkt,2,44,edge_drop,0.9,0.900429,1165,116,858,0.762463547300563,0.8191260675263423,0.4187791863361863,pykt_checkpoint
xes3g5m,gkt,2,44,node_drop,0.9,0.9897,1165,12,858,0.74775277474936,0.8165564958161032,0.42684815461177295,pykt_checkpoint
