dataset,fold,split_seed,model,eval_split,auc,acc,nll,n_eval,status,note,graph_construction
xes3g5m,0,42,dkt,valid+test,0.8577610832042228,0.8508091091873312,0.3423891203783538,1922840,pykt_checkpoint,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
xes3g5m,0,42,simplekt,valid+test,0.8744411161851224,0.8571218015923558,0.3248651145119919,1922840,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
xes3g5m,0,42,akt,valid+test,0.8740823569517637,0.8572900473590976,0.3255685296969038,1922840,pykt_checkpoint,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
xes3g5m,0,42,gkt,valid+test,0.8345570064591779,0.8420617197776374,0.3646341882075942,1922840,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
xes3g5m,0,42,gikt,valid+test,0.8742935343268464,0.8570147361044291,0.3264840625268887,1922840,pykt_checkpoint,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs. YAML alias `gikt` maps to `akt` (GIKT not bundled in pyKT).,train_only
xes3g5m,0,42,skt,valid+test,0.6231857132428551,0.7991965917022856,0.4834545640596796,1922840,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
xes3g5m,0,42,dygkt,valid+test,0.7518100021282667,0.8125881204584071,0.4314876718511853,1922840,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
xes3g5m,0,42,dgekt,valid+test,0.8409904983626277,0.8440000222473741,0.3583791453528893,1922840,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,train_only
xes3g5m,0,42,bkt,valid+test,0.6343723683405742,0.7930415427180628,0.4919358299554697,1922840,classical_bkt_em,Independent-skill BKT (scipy L-BFGS-B); protocol graphs do not affect this baseline.,train_only
xes3g5m,0,42,gkt,valid+test,0.8345741013357009,0.8414137650065491,0.3631704273964576,1922840,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,full_log
xes3g5m,0,42,gikt,valid+test,0.8744178839487724,0.857013345643547,0.3249674171356313,1922840,pykt_checkpoint,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs. YAML alias `gikt` maps to `akt` (GIKT not bundled in pyKT).,full_log
xes3g5m,0,42,skt,valid+test,0.6231069851994533,0.7990867452925947,0.4831985629351103,1922840,pykt_checkpoint,pyKT `skt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,full_log
