model,status,note,dataset,eval_split,auc,acc,nll,n_eval,n_folds,auc_ci_low,auc_ci_high,acc_ci_low,acc_ci_high,nll_ci_low,nll_ci_high,graph_construction
bkt,pending_data,Baselines reported for diagnostic purposes only; we do not claim SOTA.,,,,,,,,,,,,,,train_only
akt,pykt_checkpoint,pyKT `akt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,assist2012,valid+test,0.9681288785655444,0.9156829777746336,0.1747293143691238,2425093.0,3.0,0.9675068477734988,0.968675592395115,0.9143705401787228,0.91663103699344,0.1726955495879424,0.1764156509392831,train_only
bkt,classical_bkt_em,Independent-skill BKT (scipy L-BFGS-B); protocol graphs do not affect this baseline.,assist2012,valid+test,0.6688520787654314,0.7131478840835781,0.5744071963208116,2425093.0,3.0,0.6667226942583029,0.6710365669896484,0.7111993252961316,0.7150361670083513,0.5725956496343546,0.576385818192477,train_only
dgekt,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,assist2012,valid+test,0.9601037497679912,0.907256041336876,0.1861938452518089,2425093.0,3.0,0.9596100437219997,0.9605795391789947,0.9064219643802552,0.9082355529874364,0.1847793616337824,0.1877036952033035,full_log
dgekt,pykt_checkpoint,pyKT `dgekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,assist2012,valid+test,0.9600056351869688,0.9072013714845736,0.1863117989910234,2425093.0,3.0,0.9594066920962644,0.960566637143646,0.9060805980951226,0.9081201665143088,0.1847632215799628,0.1879868655945782,train_only
dkt,pykt_checkpoint,pyKT `dkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,assist2012,valid+test,0.9628081587444702,0.9097387263213838,0.1821985567516961,2425093.0,3.0,0.9614995650167308,0.9644197613912192,0.908076209354684,0.9113077898427088,0.1796973492560444,0.1849780571669653,train_only
dygkt,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,assist2012,valid+test,0.9516440317405896,0.8985406072250464,0.1995814630469189,2425093.0,3.0,0.9507315391692996,0.9525257105529268,0.89728261741485,0.8997872953231805,0.1975216475403767,0.201347738120954,full_log
dygkt,pykt_checkpoint,pyKT `dygkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,assist2012,valid+test,0.951921744429295,0.8988289055489672,0.1996189697505896,2425093.0,3.0,0.95097026146072,0.9524154029608564,0.8976266575873336,0.8995529445017899,0.1977994530601975,0.2026153201159361,train_only
gikt,invalid_alignment_leakage,"pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs. INVALIDATED: native GIKT predictions were previously aligned one step late, leaking the current response; rerun after src/models/gikt.py fix.",assist2012,valid+test,,,,2425093.0,3.0,,,,,,,full_log
gikt,invalid_alignment_leakage,"pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs. INVALIDATED: native GIKT predictions were previously aligned one step late, leaking the current response; rerun after src/models/gikt.py fix.",assist2012,valid+test,,,,2425093.0,3.0,,,,,,,train_only
