dataset,augmentation,p,ddr_mean,ddr_std,ddr_ci_low,ddr_ci_high,n
assist2012,attr_mask,0.05,0.0,0.0,0.0,0.0,9
assist2012,attr_mask,0.1,0.0,0.0,0.0,0.0,9
assist2012,attr_mask,0.2,0.0,0.0,0.0,0.0,9
assist2012,attr_mask,0.3,0.0,0.0,0.0,0.0,9
assist2012,edge_drop,0.05,0.0562307359602359,0.0131754939222836,0.0478100070323232,0.0639722227427092,9
assist2012,edge_drop,0.1,0.1017895461909533,0.0155503169451319,0.0928281901293352,0.1119531493565584,9
assist2012,edge_drop,0.2,0.2104953004062999,0.0139238991404537,0.2012971965575517,0.2187826786212744,9
assist2012,edge_drop,0.3,0.3091153603980983,0.0145150708599997,0.300901096624171,0.3185224479364617,9
assist2012,node_drop,0.05,0.1283000934794661,0.0493363905355302,0.1000348015479376,0.1562389584896542,9
assist2012,node_drop,0.1,0.2003585984562076,0.0640505303670632,0.166367114742277,0.2413428217881391,9
assist2012,node_drop,0.2,0.3480355686214885,0.0669080666198534,0.3101710146675102,0.388380102159325,9
assist2012,node_drop,0.3,0.5271419446370246,0.0852236173948577,0.4746466877884954,0.5783175565953487,9
assist2012,subgraph,0.05,0.0126974669435595,0.0027995953268644,0.0112085961909238,0.0144728393799784,9
assist2012,subgraph,0.1,0.0456158462843706,0.0186395156140849,0.0379349263218792,0.0582089196541766,9
assist2012,subgraph,0.2,0.1563785806825862,0.0314542294394574,0.1375114429456594,0.1762885727870314,9
assist2012,subgraph,0.3,0.2540928845262444,0.0289310711382697,0.2385511275861562,0.2734036378048698,9
junyi,attr_mask,0.05,0.0,0.0,0.0,0.0,9
junyi,attr_mask,0.1,0.0,0.0,0.0,0.0,9
junyi,attr_mask,0.2,0.0,0.0,0.0,0.0,9
junyi,attr_mask,0.3,0.0,0.0,0.0,0.0,9
junyi,edge_drop,0.05,0.050326458753414544,0.0014187022283086515,0.0494782758798545,0.05123287800926121,9
junyi,edge_drop,0.1,0.09428429878584338,0.001665355326320431,0.09319517105583877,0.09525795803401493,9
junyi,edge_drop,0.2,0.20001101286134912,0.00533301521128482,0.19659637762102458,0.2030615628425116,9
junyi,edge_drop,0.3,0.30076942240873783,0.007704834634489679,0.29594398645863107,0.3052831840187573,9
junyi,node_drop,0.05,0.10664315890281348,0.018872466206819868,0.09485603580688497,0.11777807914062709,9
junyi,node_drop,0.1,0.19577762407622612,0.026611935405416818,0.18144610256320948,0.2140288355170585,9
junyi,node_drop,0.2,0.38401656355214137,0.013564976941534374,0.37544199867853223,0.392351772876576,9
junyi,node_drop,0.3,0.5224195460918776,0.010595682203801795,0.5162190226644472,0.5288370203222046,9
junyi,subgraph,0.05,0.013097550310418598,0.00042904665206414106,0.012836608637809898,0.0133727948512567,9
junyi,subgraph,0.1,0.06399086677971884,0.012324639628325897,0.056169158973251185,0.07172833304167779,9
junyi,subgraph,0.2,0.16582651054912131,0.02099245324427844,0.15194951882898336,0.17805776615991062,9
junyi,subgraph,0.3,0.2697518647272935,0.02191444179829331,0.25507573886495655,0.28314524161712307,9
synthetic_c2,attr_mask,0.05,0.0,0.0,0.0,0.0,9
synthetic_c2,attr_mask,0.1,0.0,0.0,0.0,0.0,9
synthetic_c2,attr_mask,0.2,0.0,0.0,0.0,0.0,9
synthetic_c2,attr_mask,0.3,0.0,0.0,0.0,0.0,9
synthetic_c2,edge_drop,0.05,0.0,0.0,0.0,0.0,9
synthetic_c2,edge_drop,0.1,0.0,0.0,0.0,0.0,9
synthetic_c2,edge_drop,0.2,0.1666666666666666,0.25,0.0,0.3333333333333333,9
synthetic_c2,edge_drop,0.3,0.1666666666666666,0.25,0.0,0.3333333333333333,9
synthetic_c2,node_drop,0.05,0.0,0.0,0.0,0.0,9
synthetic_c2,node_drop,0.1,0.0,0.0,0.0,0.0,9
synthetic_c2,node_drop,0.2,0.3333333333333333,0.5,0.0,0.6666666666666666,9
synthetic_c2,node_drop,0.3,0.3333333333333333,0.5,0.0,0.6666666666666666,9
synthetic_c2,subgraph,0.05,0.0,0.0,0.0,0.0,9
synthetic_c2,subgraph,0.1,0.0,0.0,0.0,0.0,9
synthetic_c2,subgraph,0.2,0.0,0.0,0.0,0.0,9
synthetic_c2,subgraph,0.3,0.0,0.0,0.0,0.0,9
synthetic_c5,attr_mask,0.05,0.0,0.0,0.0,0.0,9
synthetic_c5,attr_mask,0.1,0.0,0.0,0.0,0.0,9
synthetic_c5,attr_mask,0.2,0.0,0.0,0.0,0.0,9
synthetic_c5,attr_mask,0.3,0.0,0.0,0.0,0.0,9
synthetic_c5,edge_drop,0.05,0.0,0.0,0.0,0.0,9
synthetic_c5,edge_drop,0.1,0.0,0.0,0.0,0.0,9
