dataset,model,fold,split_seed,operator,p,ddr,n_edges_orig,n_edges_pert,num_c,auc,acc,nll,status,reach_disruption,ddr_check,baseline_auc,auc_drop
assist2012,dgekt,0,42,edge_drop,0.1,0.085492,386,353,265,0.9594933084718396,0.906204488209048,0.1878152071692418,pykt_checkpoint,,,,
assist2012,dgekt,0,42,edge_drop,0.2,0.220207,386,301,265,0.9595239128854162,0.9062847048295752,0.1877645792717862,pykt_checkpoint,,,,
assist2012,dgekt,0,42,edge_drop,0.3,0.303109,386,269,265,0.959419747227496,0.9060324681228062,0.1879661688557106,pykt_checkpoint,,,,
assist2012,dgekt,0,42,node_drop,0.1,0.160622,386,324,265,0.9595071847415853,0.906285596125359,0.1878037686851782,pykt_checkpoint,,,,
assist2012,dgekt,0,42,node_drop,0.2,0.292746,386,273,265,0.9595177121427388,0.906246379110879,0.1877767359797944,pykt_checkpoint,,,,
assist2012,dgekt,0,42,node_drop,0.3,0.401554,386,231,265,0.9595217959554986,0.9062374661530426,0.1877714415061783,pykt_checkpoint,,,,
assist2012,dgekt,0,42,none,0.0,0.0,386,386,265,0.9594122342857996,0.9061073369686318,0.1879659753866013,pykt_checkpoint,,,,
assist2012,dgekt,0,42,prereq_preserve,0.1,0.07513,386,357,265,0.9595362765092836,0.906243705223528,0.1877592944670324,pykt_checkpoint,,,,
assist2012,dgekt,0,42,prereq_preserve,0.2,0.199482,386,309,265,0.9595141175858484,0.9063337260976754,0.1877960735028163,pykt_checkpoint,,,,
assist2012,dgekt,0,42,prereq_preserve,0.3,0.264249,386,284,265,0.9594342879933528,0.9059905772209754,0.1879485608320766,pykt_checkpoint,,,,
assist2012,dgekt,1,43,edge_drop,0.1,0.085052,388,355,265,0.9599142789023096,0.9071339542602218,0.1866170741196018,pykt_checkpoint,,,,
assist2012,dgekt,1,43,edge_drop,0.2,0.219072,388,303,265,0.9600526530018444,0.907386288123965,0.1861401343834,pykt_checkpoint,,,,
assist2012,dgekt,1,43,edge_drop,0.3,0.301546,388,271,265,0.9601054723146956,0.9074168196234929,0.1860809406976813,pykt_checkpoint,,,,
assist2012,dgekt,1,43,node_drop,0.1,0.113402,388,344,265,0.9601407950727594,0.9073665324478,0.1860061555400952,pykt_checkpoint,,,,
assist2012,dgekt,1,43,node_drop,0.2,0.337629,388,257,265,0.9600877320835418,0.907437473284938,0.1861362284168229,pykt_checkpoint,,,,
assist2012,dgekt,1,43,node_drop,0.3,0.484536,388,200,265,0.9600751131174998,0.9074832705342294,0.1861477180765896,pykt_checkpoint,,,,
assist2012,dgekt,1,43,none,0.0,0.0,388,388,265,0.96005915219045,0.9073189392279482,0.1861763135616794,pykt_checkpoint,,,,
assist2012,dgekt,1,43,prereq_preserve,0.1,0.07732,388,358,265,0.9600792887256552,0.907425799476295,0.1861181833031635,pykt_checkpoint,,,,
assist2012,dgekt,1,43,prereq_preserve,0.2,0.201031,388,310,265,0.9601020276537734,0.9073844921534048,0.1861188016864829,pykt_checkpoint,,,,
assist2012,dgekt,1,43,prereq_preserve,0.3,0.275773,388,281,265,0.960091746401302,0.9074590249316632,0.1861257304781566,pykt_checkpoint,,,,
assist2012,dgekt,2,44,edge_drop,0.1,0.086387,382,349,264,0.9605900845383794,0.9081478950466108,0.1847315287851929,pykt_checkpoint,,,,
assist2012,dgekt,2,44,edge_drop,0.2,0.222513,382,297,264,0.9605993118974672,0.9081470005778268,0.1847346991148459,pykt_checkpoint,,,,
