dataset,model,fold,slope,delta,n_pre_to,n_leaked,delta_tv,delta_w,n_nodes_union,bound,bound_w,abs_observed,bound_holds,bound_w_holds,informative
assist2012,dgekt,0,6.898418214888756e-05,0.05811138014527845,413.0,24.0,0.05617002356538082,0.05594940549486585,133.0,4.008766032865137e-06,3.8596239797797964e-06,9.811458102249038e-05,False,False,False
assist2012,dygkt,0,,0.05811138014527845,413.0,24.0,0.05617002356538082,0.05594940549486585,133.0,,,0.0002777126887055,,,
assist2012,gikt,0,,0.05811138014527845,413.0,24.0,0.05617002356538082,0.05594940549486585,133.0,,,9.624038575206662e-05,,,
assist2012,gkt,0,0.0027744642275833,0.05811138014527845,413.0,24.0,0.05617002356538082,0.05594940549486585,133.0,0.00016122794542856948,0.00015522962410005782,3.315729481575177e-05,True,True,False
assist2012,skt,0,,0.05811138014527845,413.0,24.0,0.05617002356538082,0.05594940549486585,133.0,,,1.3211705599869283e-05,,,
junyi,dgekt,0,,0.07202602230483271,2152.0,155.0,0.08219681809934129,0.031455562038634075,568.0,,,2.941735970681444e-05,,,
junyi,dygkt,0,,0.07202602230483271,2152.0,155.0,0.08219681809934129,0.031455562038634075,568.0,,,0.0001421195591527,,,
junyi,gikt,0,,0.07202602230483271,2152.0,155.0,0.08219681809934129,0.031455562038634075,568.0,,,1.4309366691593144e-05,,,
junyi,skt,0,,0.07202602230483271,2152.0,155.0,0.08219681809934129,0.031455562038634075,568.0,,,0.0032526560481989,,,
xes3g5m,dgekt,0,0.0001936540287192,0.08864027538726334,1162.0,103.0,0.07731576297903732,0.03526167192684678,459.0,1.716554643552289e-05,6.828564828008595e-06,0.0002884844869498,False,False,False
xes3g5m,dygkt,0,,0.08864027538726334,1162.0,103.0,0.07731576297903732,0.03526167192684678,459.0,,,0.0032272250264153,,,
xes3g5m,gikt,0,,0.08864027538726334,1162.0,103.0,0.07731576297903732,0.03526167192684678,459.0,,,0.0001671583380865,,,
xes3g5m,gkt,0,0.084273703388855,0.08864027538726334,1162.0,103.0,0.07731576297903732,0.03526167192684678,459.0,0.007470044276292654,0.0029716316809582006,0.0017380777132818,True,True,True
xes3g5m,skt,0,,0.08864027538726334,1162.0,103.0,0.07731576297903732,0.03526167192684678,459.0,,,0.000164920018152,,,
