dataset,model,fold,split_seed,operator,p,n_edges_orig,num_c,n_replicates,auc_mean,auc_range,auc_std
assist2012,gkt,0,42,none,0.0,413,265,3,0.9623090983445697,0.00017588016894876102,8.911878195219773e-05
assist2012,gkt,0,42,edge_drop,0.1,413,265,3,0.9622661178800902,0.00020921397350104343,0.0001046520049848919
assist2012,gkt,0,42,edge_drop,0.2,413,265,3,0.9622092207227458,5.63802280364456e-05,2.918026223520212e-05
assist2012,gkt,0,42,edge_drop,0.3,413,265,3,0.9619950292387633,0.0002912200860465397,0.00014568353372101855
assist2012,gkt,0,42,node_drop,0.1,413,265,3,0.961915351966987,0.00014895909008394437,7.543507676285201e-05
assist2012,gkt,0,42,node_drop,0.2,413,265,3,0.9613521782927853,0.00044484127506960736,0.00022296872183060046
assist2012,gkt,0,42,node_drop,0.3,413,265,3,0.9611755821260592,0.00052872334092946,0.00029610766429225406
assist2012,gkt,0,42,prereq_preserve,0.1,413,265,3,0.9622477808737396,0.0001847401272794258,9.251151915317643e-05
assist2012,gkt,0,42,prereq_preserve,0.2,413,265,3,0.9621954744435249,3.0530580352405856e-05,1.692242700422443e-05
assist2012,gkt,0,42,prereq_preserve,0.3,413,265,3,0.9620832992191027,0.0001869991436743712,9.501968190235599e-05
assist2012,gkt,1,43,none,0.0,416,265,3,0.9630071141644482,0.0003370863815566061,0.0001875306975950982
assist2012,gkt,1,43,edge_drop,0.1,416,265,3,0.9629195859203298,0.0005075150230440251,0.00029058052717001725
assist2012,gkt,1,43,edge_drop,0.2,416,265,3,0.9630394895684159,0.00028013632211953965,0.00014014493181486627
assist2012,gkt,1,43,edge_drop,0.3,416,265,3,0.9626673534553355,0.0004804365314388104,0.00024685274040807495
assist2012,gkt,1,43,node_drop,0.1,416,265,3,0.9629268645408917,0.0002844928400216329,0.0001430071889088282
assist2012,gkt,1,43,node_drop,0.2,416,265,3,0.962412194572249,0.00040735932969448996,0.00020776880115905296
assist2012,gkt,1,43,node_drop,0.3,416,265,3,0.9621807905837177,0.0005135713803056108,0.0002588377060650787
assist2012,gkt,1,43,prereq_preserve,0.1,416,265,3,0.963140730824226,0.00014976024074520033,7.87170081606933e-05
assist2012,gkt,1,43,prereq_preserve,0.2,416,265,3,0.9630848074951853,0.0002547443438719599,0.0001289730619958014
assist2012,gkt,1,43,prereq_preserve,0.3,416,265,3,0.9629613514730044,0.0002533350868280104,0.0001279991721505622
assist2012,gkt,2,44,none,0.0,416,264,3,0.9637074825209387,0.00020527340229414826,0.00010615538729315191
assist2012,gkt,2,44,edge_drop,0.1,416,264,3,0.9636629383473315,0.0002468858932860307,0.00012721126072810725
assist2012,gkt,2,44,edge_drop,0.2,416,264,3,0.9635039320380542,0.0001586924610241791,7.950329203521516e-05
assist2012,gkt,2,44,edge_drop,0.3,416,264,3,0.9632960798377419,0.00022455507190599633,0.00012020750854227209
assist2012,gkt,2,44,node_drop,0.1,416,264,3,0.9632205801155534,0.0003868937219786428,0.0002051604718291747
assist2012,gkt,2,44,node_drop,0.2,416,264,3,0.962576361510172,0.000998875979603242,0.0005242760411328176
assist2012,gkt,2,44,node_drop,0.3,416,264,3,0.9624969109190062,0.00043145326294735664,0.00023610346433162622
assist2012,gkt,2,44,prereq_preserve,0.1,416,264,3,0.9635426619517751,0.0001851962831748155,0.00010201543673773994
assist2012,gkt,2,44,prereq_preserve,0.2,416,264,3,0.9634981600918255,0.00030199104766259754,0.0001547809230997338
assist2012,gkt,2,44,prereq_preserve,0.3,416,264,3,0.963403178150485,0.00026803615704207306,0.0001346499370318157
assist2012,gkt,0,42,edge_drop,0.9,413,265,2,0.9604555423344072,0.00017714341859198512,0.0001252593125289598
assist2012,gkt,0,42,node_drop,0.9,413,265,2,0.9602164165432068,1.1658800247449363e-06,8.244016715470843e-07
assist2012,gkt,1,43,edge_drop,0.9,416,265,2,0.9610366039506005,0.0004318821643514159,0.0003053868070864092
assist2012,gkt,1,43,node_drop,0.9,416,265,2,0.9607480488776695,0.00039167457152577967,0.00027695574554421426
assist2012,gkt,2,44,edge_drop,0.9,416,264,2,0.9618810992436324,4.3708972801148605e-05,3.090691106639054e-05
assist2012,gkt,2,44,node_drop,0.9,416,264,2,0.9616644506191678,9.129043235400758e-05,6.455208377497056e-05
