dataset,fold,split_seed,model,graph_construction,eval_split,auc,acc,nll,n_eval,status,note,experiment_tag,split_base_seed
xes3g5m,0,1234,gkt,train_only,valid+test,0.8356621280052274,0.8431045373491417,0.3630677513255676,1918817,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,gkt_epochs30_s1234,1234
xes3g5m,1,1235,gkt,train_only,valid+test,0.7083970860458737,0.8036116561296417,0.4571407723162488,1908825,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,gkt_epochs30_s1234,1234
xes3g5m,2,1236,gkt,train_only,valid+test,0.8397190016694699,0.8455976477559212,0.3570167931409694,1930326,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,gkt_epochs30_s1234,1234
xes3g5m,0,17,gkt,train_only,valid+test,0.8422173236026003,0.8470733902388579,0.3524157578843413,1919582,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,gkt_epochs30_s17,17
xes3g5m,1,18,gkt,train_only,valid+test,0.8435369316502014,0.8468609727602533,0.3527448331731821,1917041,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,gkt_epochs30_s17,17
xes3g5m,2,19,gkt,train_only,valid+test,0.8448232263658406,0.8481829920678842,0.3498334948577747,1923384,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,gkt_epochs30_s17,17
xes3g5m,0,42,gkt,train_only,valid+test,0.8401807672969944,0.8424009922328856,0.3598571071047899,1922840,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,gkt_epochs30_s42,42
xes3g5m,1,43,gkt,train_only,valid+test,0.8382998300180499,0.8426137327478566,0.3601923889430088,1922941,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,gkt_epochs30_s42,42
xes3g5m,2,44,gkt,train_only,valid+test,0.8328044059809494,0.8396659556776689,0.3683021785449273,1920233,pykt_checkpoint,pyKT `gkt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,gkt_epochs30_s42,42
xes3g5m,0,1234,simplekt,train_only,valid+test,0.8780449641521793,0.8609140659500372,0.3173675828222051,1918817,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s1234,1234
xes3g5m,0,1234,gikt,train_only,valid+test,0.8794266256420493,0.8616994516275092,0.316486006700874,1918817,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s1234,1234
xes3g5m,1,1235,simplekt,train_only,valid+test,0.8759995760861705,0.8587479666616358,0.3221798041272832,1908825,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s1234,1234
xes3g5m,1,1235,gikt,train_only,valid+test,0.8778741017632679,0.8595585070405214,0.3205577656889378,1908825,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s1234,1234
xes3g5m,2,1236,simplekt,train_only,valid+test,0.8772589003805877,0.860698853504609,0.3193966844505821,1930326,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s1234,1234
xes3g5m,2,1236,gikt,train_only,valid+test,0.8792288852303627,0.861777710698574,0.3171571709226583,1930326,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s1234,1234
xes3g5m,0,17,simplekt,train_only,valid+test,0.8760765927318162,0.8602348890118674,0.320284652860368,1919582,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s17,17
xes3g5m,0,17,gikt,train_only,valid+test,0.878425465624151,0.8614423146797248,0.3169388007362731,1919582,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s17,17
xes3g5m,1,18,simplekt,train_only,valid+test,0.8777749177469986,0.8606736988031952,0.3188578925695695,1917041,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s17,17
xes3g5m,1,18,gikt,train_only,valid+test,0.8801520835244381,0.8623422939969703,0.3167328387047449,1917041,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s17,17
xes3g5m,2,19,simplekt,train_only,valid+test,0.8772343540381988,0.8606289793340153,0.3186851885988855,1923384,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s17,17
xes3g5m,2,19,gikt,train_only,valid+test,0.8807069699126147,0.8622388802244917,0.315468868502193,1923384,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s17,17
xes3g5m,0,42,simplekt,train_only,valid+test,0.877247850338219,0.8599022879598419,0.3200945587079777,1922840,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s42,42
xes3g5m,0,42,gikt,train_only,valid+test,0.8792169584372734,0.8607547528410838,0.318672102056545,1922840,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s42,42
xes3g5m,1,43,simplekt,train_only,valid+test,0.8763680766006157,0.8610929438267568,0.3181779707131133,1922941,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s42,42
xes3g5m,1,43,gikt,train_only,valid+test,0.8794775903069019,0.8621969557221356,0.3157005726131229,1922941,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s42,42
xes3g5m,2,44,simplekt,train_only,valid+test,0.8776763313522549,0.858722811960222,0.3204706230139573,1920233,pykt_checkpoint,pyKT `simplekt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s42,42
xes3g5m,2,44,gikt,train_only,valid+test,0.8793009357017596,0.8606597239690765,0.3191876202517921,1920233,pykt_checkpoint,pyKT `gikt` trained on learner-split train users; metrics on valid+test sequence positions. GKT adjacency from P0 exported graphs.,trio_matched_s42,42
